Troop,Num_Booths
3396,271
203,155
3829,85
558,84
2121,73
872,68
4929,67
3587,63
80,62
7190,61
4997,61
7121,61
212,60
3822,59
436,59
3983,59
7073,58
1682,58
3561,57
123,56
4520,55
6310,53
5381,52
7425,52
3392,50
3108,47
6527,46
4458,45
6520,45
3985,45
9653,43
4491,43
417,42
2589,42
3605,41
3092,41
6545,40
1264,40
4219,39
3891,38
308,37
7409,37
2043,36
4465,36
2713,35
2233,35
4497,34
5790,34
4010,33
1267,33
2097,33
3305,33
4726,33
71,32
9661,32
2069,32
5387,32
3004,32
3047,32
1477,32
3839,31
4533,31
4297,31
6234,31
3999,30
3239,30
2320,30
2591,30
419,30
3768,29
2602,29
6047,29
3503,29
3475,29
2191,29
2050,28
3314,28
3403,28
148,28
4338,28
2566,28
6223,27
3890,27
3528,27
2425,27
3179,27
7382,27
3491,27
3951,27
3384,26
3614,26
2316,26
4009,26
7270,26
2256,26
3407,26
4568,26
792,26
1304,26
3859,26
3990,26
1672,26
9574,25
4847,25
2467,25
79,25
7020,25
1401,25
4280,25
3969,25
1553,25
3968,25
3923,25
4467,24
7440,24
7478,24
2826,24
3490,24
6484,24
2779,23
1684,23
997,23
4727,23
7369,22
7076,22
6222,22
4985,22
4328,22
4860,22
1126,22
2356,22
3589,22
2575,22
2820,22
4318,22
4499,22
4451,21
6365,21
7041,21
6989,21
6217,21
1115,21
3721,21
2182,21
4603,20
3726,20
3531,20
3170,20
2877,20
2232,20
4921,19
2715,19
3315,19
2639,19
9650,19
415,19
3786,19
285,19
3819,19
3401,19
2123,18
3218,18
3065,18
1234,18
4894,18
2558,18
6522,18
3657,18
9651,18
6859,18
4640,17
4526,17
4675,17
1892,17
9601,17
3395,17
9696,17
2479,17
3738,17
2116,17
6354,17
4498,17
6109,17
3454,17
2027,17
3680,17
3873,16
3997,16
3296,16
3421,16
3282,16
1659,16
210,16
4576,16
4507,16
6813,16
3824,16
2131,16
3725,16
4399,16
714,16
5355,16
7287,16
2253,16
1044,16
3052,15
1529,15
2046,15
3249,15
704601,15
6240,15
6185,15
4374,15
3220,15
4290,15
1653,15
4311,15
3586,15
3048,15
7045,15
1123,14
4523,14
7150,14
7476,14
297,14
3651,14
289,14
3895,14
9646,14
3570,14
6544,14
3116,14
1734,14
2823,14
2250,14
3097,14
2264,14
3126,14
3255,14
3946,14
3628,13
3350,13
4320,13
3955,13
5333,13
4312,13
3010,13
2595,13
7302,13
7053,13
2604,13
3162,13
3115,13
6425,13
7428,13
3922,13
2089,13
2083,13
3471,13
3627,13
3630,13
6455,13
3280,13
1624,12
1981,12
3588,12
510,12
1948,12
3941,12
2561,12
733,12
2188,12
3158,12
3932,12
180,11
4641,11
7387,11
2554,11
3007,11
1141,11
4901,11
4433,11
4222,11
4322,11
3093,11
4233,11
3894,11
3975,11
704,11
6091,11
4208,11
1688,11
3874,11
7021,11
3542,11
3884,11
3612,11
3615,11
3626,11
3592,11
7489,11
9659,11
2428,10
9578,10
9648,10
3750,10
3814,10
3707,10
6368,10
3828,10
7024,10
3914,10
5789,10
4310,10
2197,10
7030,10
9622,10
2175,10
4220,10
3146,10
3937,10
4008,10
3994,10
3130,10
553,10
2137,9
7422,9
269,9
3806,9
2010,9
2065,9
3361,9
3967,9
4982,9
1787,9
7223,9
4906,9
4125,9
4202,9
4341,9
4240,9
579,9
4216,9
548,9
3986,9
7433,9
3462,9
3893,9
1451,9
4648,9
4530,9
4637,9
128,9
3881,8
3599,8
6552,8
3799,8
3766,8
371,8
7443,8
4016,8
4236,8
3173,8
7454,8
9576,8
7036,8
2237,8
2202,8
88,8
181,8
4527,8
2654,8
7393,8
2811,8
2674,8
1213,8
4333,8
3306,8
4348,8
3949,8
2059,8
3120,8
4833,7
4615,7
408,7
3435,7
6513,7
3550,7
6546,7
3821,7
3252,7
3402,7
9606,7
7438,7
7426,7
4668,7
1302,7
4250,7
4361,7
932,7
3201,7
1577,7
484,7
3996,7
3208,7
3206,7
3171,7
3391,7
3602,7
3816,7
292,6
3773,6
6587,6
6352,6
3720,6
3398,6
2106,6
2200,6
4613,6
4562,6
704648,6
2650,6
3461,6
3562,6
1084,6
841,6
3042,6
1099,6
3062,6
2062,6
6300,6
3312,6
5388,6
4400,6
4214,6
4209,6
4001,6
4126,6
4516,6
2489,6
3244,6
637,6
3960,6
6250,6
1955,6
3136,6
3177,6
3563,5
6720,5
2368,5
3565,5
312,5
4521,5
3578,5
6424,5
6388,5
6775,5
3853,5
3889,5
6445,5
3560,5
3189,5
3161,5
801,5
3987,5
2041,5
3090,5
1778,5
4215,5
3348,5
3234,5
1069,5
3055,5
7040,5
4366,5
4456,5
4450,5
4388,5
4349,5
1096,5
7310,5
2488,5
2626,5
2569,5
4511,5
4532,5
4659,5
4630,5
107,4
163,4
9607,4
7435,4
4295,4
4243,4
1394,4
1220,4
1313,4
4645,4
4862,4
3082,4
7047,4
2899,4
9670,4
2360,4
343,4
9671,4
4245,4
1092,4
3641,4
6516,4
3926,4
3950,4
3958,4
4015,4
1752,4
3886,4
6477,4
3723,4
7052,4
2496,4
9673,4
3202,4
3200,4
3246,4
595,4
764,4
2080,4
6872,4
3423,4
2159,4
2151,4
6825,3
6704,3
6565,3
3559,3
6387,3
3827,3
173,3
6153,3
13,3
2603,3
2393,3
7421,3
3230,3
3222,3
9655,3
2169,3
3709,3
6463,3
6358,3
1108,3
1377,3
4518,3
5865,3
6248,3
4317,3
5330,3
4500,3
4362,3
4864,3
4663,3
9623,2
9640,2
2567,2
7472,2
7437,2
456,2
316,2
2366,2
2314,2
2426,2
763,2
3408,2
2138,2
3238,2
2438,2
3137,2
7286,2
3235,2
5331,2
4483,2
4983,2
1107,2
4535,2
4635,2
4522,2
4885,2
2030,2
4344,2
1656,2
3995,2
6359,2
3775,2
6486,2
3761,2
3209,2
2128,2
761,2
3215,2
7447,1
1658,1
6108,1
3961,1
4913,1
1411,1
4534,1
4508,1
1775,1
4381,1
1090,1
4269,1
1941,1
3241,1
6788,1
3297,1
6580,1
6789,1
2104,1
2167,1
2570,1
7325,1
2265,1
2999,1
3140,1
2313,1
7427,1
704674,1
